state_name,county_name,fips_code,date,cases_per_100K_7_day_count_change,percent_test_results_reported_positive_last_7_days,community_transmission_level
California,Kings County,06031,04/16/2020,suppressed,5.36,moderate
California,Placer County,06061,04/16/2020,5.272,1.91,low
California,Plumas County,06063,04/16/2020,suppressed,,low
California,San Benito County,06069,04/16/2020,suppressed,4.40,low
California,San Diego County,06073,04/16/2020,14.438,9.80,substantial
California,Stanislaus County,06099,04/16/2020,16.162,10.24,high
California,Madera County,06039,04/16/2020,suppressed,1.63,low
California,Marin County,06041,04/16/2020,14.295,5.65,moderate
California,San Francisco County,06075,04/16/2020,36.186,10.22,high
California,San Mateo County,06081,04/16/2020,12.915,8.80,substantial
California,Kings County,06031,05/07/2020,83.693,18.56,high
California,Marin County,06041,05/07/2020,3.864,1.25,low
California,Mendocino County,06045,05/07/2020,0.000,0.00,low
California,Modoc County,06049,05/07/2020,0.000,,low
California,Solano County,06095,05/07/2020,10.723,3.68,moderate
California,Sonoma County,06097,05/07/2020,7.889,3.15,low
California,Sutter County,06101,05/07/2020,suppressed,0.76,low
California,Yolo County,06113,05/07/2020,4.989,4.05,low
California,Colusa County,06011,05/07/2020,0.000,,low
California,Humboldt County,06023,05/07/2020,suppressed,0.22,low
California,Madera County,06039,05/07/2020,6.356,3.86,low
California,San Francisco County,06075,05/07/2020,35.733,5.30,moderate
California,Santa Clara County,06085,05/07/2020,6.432,3.24,low
California,Trinity County,06105,05/07/2020,0.000,,low
California,Calaveras County,06009,05/07/2020,0.000,,low
California,Contra Costa County,06013,05/07/2020,9.103,2.83,low
California,El Dorado County,06017,05/07/2020,5.186,1.79,low
California,Inyo County,06027,05/07/2020,0.000,,low
California,Orange County,06059,05/07/2020,23.459,8.85,substantial
California,Tulare County,06107,05/07/2020,74.861,16.14,high
California,Butte County,06007,05/07/2020,suppressed,0.20,low
California,Del Norte County,06015,05/07/2020,0.000,,low
California,San Joaquin County,06077,05/07/2020,5.380,2.90,low
California,Sierra County,06091,05/07/2020,0.000,,low
California,Tehama County,06103,05/07/2020,0.000,0.00,low
California,Alpine County,06003,05/07/2020,0.000,,low
California,Glenn County,06021,05/07/2020,0.000,,low
California,Merced County,06047,05/07/2020,9.003,4.03,low
California,Monterey County,06053,05/07/2020,9.676,6.26,moderate
California,Plumas County,06063,05/07/2020,0.000,,low
California,San Diego County,06073,05/07/2020,26.570,8.73,substantial
California,Lake County,06033,05/07/2020,suppressed,0.00,low
California,Lassen County,06035,05/07/2020,0.000,,low
